강좌명,강사명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수시작일자,접수종료일자,접수방법구분,선정방법구분,홈페이지주소,직업능력개발훈련비지원강좌여부,학점은행제평가(학점)인정여부,평생학습계좌제평가인정여부,데이터기준일자
평생교육 강사를 위한 장애 인권 감수성 향상 과정8,주은미,2026-09-03,2026-09-03,19:00,21:00,시민참여,성인,오프라인,목요일,대치평생학습관 2강의실,20,0,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정7,주은미,2026-08-31,2026-08-31,10:00,12:00,시민참여,성인,오프라인,월요일,일원평생학습센터 9강의실,20,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-06,2026-08-23,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정6,주은미,2026-08-27,2026-08-27,19:00,21:00,시민참여,성인,오프라인,목요일,대치평생학습관 2강의실,20,0,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정5,주은미,2026-08-26,2026-08-26,14:00,16:00,시민참여,성인,오프라인,수요일,일원평생학습센터 2강의,20,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]AI와 디지털툴로 그림작가 되기(B/6회),문서현,2026-07-08,2026-08-12,19:00,21:00,디지털,성인,오프라인,수요일,논현글로벌평생학습센터 3층 2강의실,18,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]스마트워크를 위한 노션 활용법(B/6회),이유미,2026-07-08,2026-08-19,19:00,21:00,디지털,성인,오프라인,수요일,논현글로벌평생학습센터 3층 1강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]퍼스널컬러 이미지브랜딩(B/6회),유지현,2026-07-08,2026-08-12,14:00,16:00,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 2강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 마음챙김 프로젝트 : 나의 차크라(건강) 이해하기 (B/6회),조혜현,2026-07-03,2026-08-14,14:00,16:00,기타,성인,오프라인,금요일,일원평생학습센터 강의실,18,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]주한독일문화원과 함께하는 기초독일어Ⅱ(B/6회),Dubee Sohn,2026-07-03,2026-08-14,14:00,16:00,기타외국어,성인,오프라인,금요일,논현글로벌평생학습센터 3층 1강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2-저녁] 내 삶에 꼭 필요한 세금이야기(부동산 세금, 상속증여세 등)(B/6)",신관식,2026-07-02,2026-08-06,19:00,21:00,기타,성인,오프라인,목요일,일원평생학습센터 강의실,20,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2]수제 막걸리 클래스(B/4회),오미정,2026-07-02,2026-07-23,10:00,12:00,요리,성인,오프라인,목요일,개포평생학습센터 요리실,16,24000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 어린이 합창(B),이승주,2026-05-22,2026-08-14,16:00,16:50,초등,성인,오프라인,금요일,수서평생학습센터 음악강의실,12,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 어린이 합창(A),이승주,2026-05-22,2026-08-14,15:00,15:50,초등,성인,오프라인,금요일,수서평생학습센터 음악강의실,12,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 6주 완성, AI와 함께 시니어 해외여행 (A/6회)",김도희,2026-05-22,2026-06-26,14:00,16:00,디지털,성인,오프라인,금요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 마음치유, 수묵캘리그라피",최남길,2026-05-22,2026-08-14,14:00,16:00,미술/서예,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 실전 부동산경매 투자비법,정희철,2026-05-22,2026-08-14,14:00,16:00,기타,성인,오프라인,금요일,일원평생학습센터 강의실,35,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] (시니어)스마트폰 AI 입문교실,배정희,2026-05-22,2026-08-14,14:00,16:00,디지털,성인,오프라인,금요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 자개로 즐기는 공예생활 (A/6회),유수혜,2026-05-22,2026-06-26,14:00,16:00,도자기/공예,성인,오프라인,금요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]색연필로 그리는 컬러풀 세상,김민구,2026-05-22,2026-08-14,14:00,16:00,미술/서예,성인,오프라인,금요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]주한독일문화원과 함께하는 기초독일어 Ι(A/6회),Dubee Sohn,2026-05-22,2026-06-26,14:00,16:00,기타외국어,성인,오프라인,금요일,논현글로벌평생학습센터 3층 1강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
